cluster_id,size,avg_stance,stance_0,stance_1,stance_2,stance_3,stance_4,stance_5,stance_6
0,2,-1.7777777777777777,0.0,3.5,1.0,0.0,0.0,0.0,0.0
1,2,0.5,0.0,0.5,0.5,0.5,0.0,1.5,0.0
2,2,-0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0
3,1,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4,1,-0.6153846153846154,0.0,5.0,8.0,11.0,2.0,0.0,0.0
5,1,-1.2,0.0,2.0,2.0,1.0,0.0,0.0,0.0
6,2,-1.3432835820895523,0.0,17.5,11.0,4.5,0.0,0.5,0.0
7,1,1.8571428571428572,0.0,0.0,0.0,1.0,0.0,13.0,0.0
8,1,0.7894736842105263,0.0,1.0,4.0,2.0,3.0,9.0,0.0
9,4,-0.6836734693877551,0.0,4.5,9.75,9.0,0.5,0.75,0.0
10,2,-1.3888888888888888,0.0,3.5,5.5,0.0,0.0,0.0,0.0
11,1,-1.3333333333333333,0.0,12.0,16.0,2.0,0.0,0.0,0.0
12,2,-1.3272727272727274,0.0,40.5,32.0,7.5,1.5,1.0,0.0
13,2,-0.9,0.0,1.0,2.5,1.5,0.0,0.0,0.0
14,1,1.85,0.0,0.0,2.0,0.0,0.0,38.0,0.0
15,1,-0.5909090909090909,0.0,3.0,7.0,12.0,0.0,0.0,0.0
16,5,-0.9499999992549419,0.0,1.4,1.2,1.2,0.2,0.0,0.0
17,1,-1.6363636363636365,0.0,7.0,4.0,0.0,0.0,0.0,0.0
18,1,-0.8333333333333334,0.0,1.0,3.0,2.0,0.0,0.0,0.0
19,1,-1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
